Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CTR,CPC,CPM,CVR,vCPM,Viewability
Online Behavior>United States>Autos and Vehicles>Electric and Plug-In Vehicles,320x50,10% Discount - Ends 6/1,"San Francisco, California",msn.com,PubMatic,Smartphone,1601933,4265,1135085,1487426,29,"$6,785.71",$233.99,0.27%,$1.59,$4.24,0.68%,$5.98,76.31203166
US>Reach>Propensity Models>Online>Home Office,320x50,Subscribe Today - 10% Discount,"Nashville, Tennessee",outlook.live.com,Magnite DV+,Smartphone,481526,1235,396802,437639,23,"$2,037.87",$88.60,0.26%,$1.65,$4.23,1.86%,$5.14,90.66879323
Travel and Tourism>Interest (Affinity)>Destinations>Africa,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",weather.com,Smart RTB+ (Smartadserver),Smartphone,253577,890,66972,191183,44,"$1,493.07",$33.93,0.35%,$1.68,$5.89,4.94%,$22.29,35.03031127
Online Behavior>United States>Sports>Team Sports>Rugby,300x250,10% Discount - Ends 6/1,"New York City, New York",mail.yahoo.com,BidSwitch,Smartphone,1956642,4563,981461,1731673,106,"$7,730.24",$72.93,0.23%,$1.69,$3.95,2.32%,$7.88,56.67704006
Media and Entertainment,320x50,10% Discount - Ends 6/1,"New York City, New York",weather.com,Google Ad Manager,Smartphone,654902,1874,40733,477114,14,"$3,178.61",$227.04,0.29%,$1.70,$4.85,0.75%,$78.04,8.53737262
US>Demographic>Family>Households with 2 Adults,320x50,10% Discount - Ends 6/1,"Lafayette, Indiana",yahoo.com,BidSwitch,Smartphone,507889,823,176329,450103,78,"$1,440.75",$18.47,0.16%,$1.75,$2.84,9.48%,$8.17,39.17525544
Travel and Tourism>Interest (Affinity)>Products>Air Travel,300x250,10% Discount - Ends 6/1,"Lafayette, Indiana",yahoo.com,BidSwitch,Windows PC,307888,863,134959,274790,11,"$1,559.64",$141.79,0.28%,$1.81,$5.07,1.27%,$11.56,49.11350486
US>Brand Propensities>Restaurants and Dining>Seamless Buyer Propensity,300x250,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",yahoo.com,BidSwitch,Smartphone,335664,852,148742,313071,25,"$1,542.50",$61.70,0.25%,$1.81,$4.60,2.93%,$10.37,47.51062858
US>Brand Propensities>Automotive>Ford Credit Buyer Propensity,320x50,Subscribe Today - 10% Discount,"Jacksonville, Florida",zillow.com,Google Ad Manager,Smartphone,304377,801,27519,270098,63,"$1,595.49",$25.33,0.26%,$1.99,$5.24,7.87%,$57.98,10.18852417
Online Behavior>United States>The Changing Consumer>Happy at Home,300x250,Sign up Now - 10% Off,"Los Angeles, California",msn.com,Index Exchange,Smartphone,1575592,3874,1155869,1447900,88,"$7,818.65",$88.85,0.25%,$2.02,$4.96,2.27%,$6.76,79.83072035
Online Behavior>United States>Life Event>College Graduation,320x50,10% Discount - Ends 6/1,"Los Angeles, California",msn.com,Google Ad Manager,Smartphone,1515751,3874,1151776,1396230,49,"$7,850.64",$160.22,0.26%,$2.03,$5.18,1.26%,$6.82,82.49185306
OnAudience>Interest>Shopping>Luxurious Brands,320x50,10% Discount - Ends 6/1,"Ft. Myers-Naples, Florida",the-sun.com,Google Ad Manager,Smartphone,97346,790,44118,91080,19,"$1,657.56",$87.24,0.81%,$2.10,$17.03,2.41%,$37.57,48.43873518
Transactional>Q3 Casual Dining Restaurant Goers,300x250,Sign up Today - 10% Off,"San Francisco, California",outlook.live.com,Google Ad Manager,Smartphone,284783,756,239363,261467,9,"$1,605.54",$178.39,0.27%,$2.12,$5.64,1.19%,$6.71,91.5461607
Online Behavior>United States>Finance>Financial Planning and Management>Financial Planning and Management,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",mail.yahoo.com,Xandr - Monetize SSP (AppNexus),Smartphone,1323451,3414,737990,1177859,123,"$8,187.11",$66.56,0.26%,$2.40,$6.19,3.60%,$11.09,62.65520746
Online Behavior>United States>Finance>Investing>Investing,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",msn.com,Google Ad Manager,Smartphone,1222302,3142,553773,1120128,42,"$7,880.77",$187.64,0.26%,$2.51,$6.45,1.34%,$14.23,49.43836776
"US>B2B>Purchase DM>Technology Services, Hardware and>or Software>I make the final decision with input from staff>management",300x250,10% Discount - Ends 6/1,"West Palm Beach-Ft. Pierce, Florida",taboolanews.com,TripleLift,Smartphone,217824,560,75089,179723,16,"$1,451.81",$90.74,0.26%,$2.59,$6.67,2.86%,$19.33,41.78040651
Online Behavior>United States>Food and Drink>Restaurants,300x250,Sign up Today - 10% Off,"Los Angeles, California",mail.yahoo.com,Taboola,Smartphone,908899,1984,644697,853964,32,"$5,181.09",$161.91,0.22%,$2.61,$5.70,1.61%,$8.04,75.49463443
Real Estate>Lot Size>Cozy Outdoor Living Space (Less than  an Acre),300x250,Sign up Now - 10% Off,"New York City, New York",weather.com,Magnite DV+,Smartphone,232635,666,34008,195803,39,"$1,773.99",$45.49,0.29%,$2.66,$7.63,5.86%,$52.16,17.3684775
Online Behavior>United States>Finance>Credit and Lending>Loans,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",ebay.com,Google Ad Manager,Smartphone,1100942,2984,629973,1041225,147,"$7,979.35",$54.28,0.27%,$2.67,$7.25,4.93%,$12.67,60.5030613
US>B2B>B2B Decision Maker Responsibilities>Purchasing Vehicles or Automobile Services,300x250,Subscribe Today - 10% Discount,"Ft. Wayne, Indiana",yahoo.com,PubMatic,Smartphone,276716,799,114927,255481,49,"$2,276.28",$46.45,0.29%,$2.85,$8.23,6.13%,$19.81,44.98455854
Online Behavior>United States>Beauty and Fitness>Spas and Beauty Services,320x50,Sign up Today - 10% Off,"Chicago, Illinois",yahoo.com,PubMatic,Smartphone,888037,2841,370429,820340,42,"$8,134.35",$193.68,0.32%,$2.86,$9.16,1.48%,$21.96,45.15554526
Transactional>Q2 Graduation Gift Shoppers,300x250,Sign up Today - 10% Off,"Los Angeles, California",ebay.com,Index Exchange,Smartphone,144088,490,26416,137369,7,"$1,464.06",$209.15,0.34%,$2.99,$10.16,1.43%,$55.42,19.22995727
US>Interest Propensities>Activities and Interests>College Life,320x50,Subscribe Today - 10% Discount,"Jackson, Mississippi",msn.com,Xandr - Monetize SSP (AppNexus),Smartphone,171575,499,101487,136036,8,"$1,658.33",$207.29,0.29%,$3.32,$9.67,1.60%,$16.34,74.60304625
US>Brand Propensities>Health>Beauty and Cosmetics>Beachbody Buyer Propensity,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",nypost.com,Google Ad Manager,Smartphone,152881,426,94895,145113,11,"$1,496.67",$136.06,0.28%,$3.51,$9.79,2.58%,$15.77,65.39386547
US Demographic>Age>Specialty Age Range>21+,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",weather.com,PubMatic,Smartphone,180353,471,67637,145416,8,"$1,720.88",$215.11,0.26%,$3.65,$9.54,1.70%,$25.44,46.51276338
Online Behavior>United States>Beauty and Fitness>Fitness,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",mail.yahoo.com,BidSwitch,Smartphone,728841,2174,424340,634059,37,"$8,054.14",$217.68,0.30%,$3.70,$11.05,1.70%,$18.98,66.92437139
Online Behavior>United States>Finance>Banking>Banking,320x50,10% Discount - Ends 6/1,"Los Angeles, California",msn.com,Google Ad Manager,Smartphone,921791,2150,668449,852442,69,"$8,042.90",$116.56,0.23%,$3.74,$8.73,3.21%,$12.03,78.41577491
Online Behavior>United States>Finance>Investing>Stocks and Bonds,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",ebay.com,Yahoo Exchange,Smartphone,680912,2000,388915,648524,39,"$7,814.26",$200.37,0.29%,$3.91,$11.48,1.95%,$20.09,59.96925326
Retail,320x50,Sign up Today - 10% Off,"South Bend-Elkhart, Indiana",weather.com,PubMatic,Smartphone,239164,699,86250,198209,41,"$2,819.94",$68.78,0.29%,$4.03,$11.79,5.87%,$32.69,43.5146739
Media and Entertainment>News and Current Events,300x250,Sign up Now - 10% Off,"Los Angeles, California",nbcnews.com,Google Ad Manager,Smartphone,183208,620,131164,177952,43,"$2,682.44",$62.38,0.34%,$4.33,$14.64,6.94%,$20.45,73.70751663
OnAudience>Intent>Travel,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",msn.com,BidSwitch,Apple PC,96031,311,57187,78396,21,"$1,508.91",$71.85,0.32%,$4.85,$15.71,6.75%,$26.39,72.94632379
Online Behavior>United States>Life Event>New Parent,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",ebay.com,Xandr - Monetize SSP (AppNexus),Smartphone,569171,1354,343050,541133,78,"$7,129.63",$91.41,0.24%,$5.27,$12.53,5.76%,$20.78,63.39476617
US Travel>Likely Business Travel>Number of Nights Stayed>0 Nights,300x50,Sign up Today - 10% Off,"Ft. Myers-Naples, Florida",screenrant.com,Google Ad Manager,Smartphone,81054,265,56762,76198,16,"$1,532.36",$95.77,0.33%,$5.78,$18.91,6.04%,$27.00,74.49276884
OnAudience>Intent>Sporting Goods>Team Sports,300x250,10% Discount - Ends 6/1,"Charleston, South Carolina",cbssports.com,Magnite DV+,Apple PC,94340,250,16955,76971,13,"$1,517.24",$116.71,0.26%,$6.07,$16.08,5.20%,$89.49,22.0277767
Online Behavior>United States>Finance>Credit and Lending>Credit and Lending,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",msn.com,PubMatic,Smartphone,4154911,1254,2338732,3445626,154,"$8,038.57",$52.20,0.03%,$6.41,$1.93,12.28%,$3.44,67.87538752
Lotame>Personal Finance>Estate Planning,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",businessinsider.com,Google Ad Manager,Smartphone,59782,212,28235,57543,13,"$1,455.70",$111.98,0.35%,$6.87,$24.35,6.13%,$51.56,49.06765375
Online Behavior>United States>Autos and Vehicles>Brands>Bugatti,320x50,Sign up Today - 10% Off,"Jacksonville, Florida",mobileposse.com,Google Ad Manager,Smartphone,98509,299,30688,109518,15,"$2,059.27",$137.28,0.30%,$6.89,$20.90,5.02%,$67.10,28.02096459
Online Behavior>United States>Finance>Banking>Savings Accounts,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",the-sun.com,Google Ad Manager,Smartphone,357707,951,203987,338107,74,"$6,749.20",$91.21,0.27%,$7.10,$18.87,7.78%,$33.09,60.33208422
Travel and Tourism>Interest (Affinity)>Destinations>Europe,320x50,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",mail.aol.com,Magnite DV+,Smartphone,88819,200,65488,80451,6,"$1,442.23",$240.37,0.23%,$7.21,$16.24,3.00%,$22.02,81.40110129
Online Behavior>United States>Arts and Entertainment>Events and Listings>Concerts and Music Festivals,300x50,Sign up Today - 10% Off,"Chicago, Illinois",usssa.com,Google Ad Manager,Smartphone,"446,774",951,"196,581","379,758",33,"$6,956.63",$210.81,0.21%,$7.32,$15.57,3.47%,$35.39,51.76480811
Lotame>Offline CPG Purchasers>Product Segment,300x250,Subscribe Today - 10% Discount,"New York City, New York",mail.aol.com,Google Ad Manager,Smartphone,92806,212,67534,85013,11,"$1,579.38",$143.58,0.23%,$7.45,$17.02,5.19%,$23.39,79.43961512
US>Sociodemographic>P$YCLE Premier Lifestage>F4 Working-Class USA,320x50,10% Discount - Ends 6/1,"San Francisco, California",realtor.com,BidSwitch,Smartphone,64577,240,37732,60357,11,"$1,801.35",$163.76,0.37%,$7.51,$27.89,4.58%,$47.74,62.51470418
Lotame>Travel>Winter Holiday Travel,300x250,Sign up Now - 10% Off,"San Francisco, California",investing.com,Magnite DV+,Apple PC,81486,193,57653,76803,6,"$1,463.84",$243.97,0.24%,$7.58,$17.96,3.11%,$25.39,75.06607815
Media and Entertainment>Connected TV and Over-the-Top (CTV and OTT)>Streaming Television and Film Viewership>OTT Movie Viewers>Genre>Crime Movie Streamers,300x250,Sign up Now - 10% Off,"Chicago, Illinois",cars.com,BidSwitch,Windows PC,69757,199,41258,65374,20,"$1,510.62",$75.53,0.29%,$7.59,$21.66,10.05%,$36.61,63.1107168
Mobile - US>Sports>Motor Sports>NASCAR,320x50,Sign up Now - 10% Off,"Ft. Wayne, Indiana",yahoo.com,Google Ad Manager,Smartphone,74516,200,23985,63853,24,"$1,523.78",$63.49,0.27%,$7.62,$20.45,12.00%,$63.53,37.56283965
Online Behavior>United States>Sports>Team Sports>American Football,320x50,Sign up Today - 10% Off,"Nashville, Tennessee",msn.com,PubMatic,Smartphone,458931,974,264325,378011,30,"$7,462.68",$248.76,0.21%,$7.66,$16.26,3.08%,$28.23,69.92521382
Real Estate>Occupancy>Owner Occupied,300x250,Sign up Now - 10% Off,"Chicago, Illinois",accuweather.com,Google Ad Manager,Windows PC,49250,220,9205,43535,15,"$1,694.47",$112.96,0.45%,$7.70,$34.41,6.82%,$184.08,21.1439072
Mobile - US>Travel>Car Rentals>Hertz,320x50,Sign up Today - 10% Off,"Chicago, Illinois",ebay.com,BidSwitch,Smartphone,87287,203,40039,80040,18,"$1,579.37",$87.74,0.23%,$7.78,$18.09,8.87%,$39.45,50.02373813
Online Behavior>United States>Validated Demographic>Age>25-34,320x50,10% Discount - Ends 6/1,"Panama City, Florida",lotterypost.com,OpenX,Smartphone,190592,601,28906,172515,25,"$4,742.05",$189.68,0.32%,$7.89,$24.88,4.16%,$164.05,16.75564444
Mobile - US>Demographics>Education>High Education Achievement,300x250,Sign up Today - 10% Off,"Los Angeles, California",yahoo.com,Google Ad Manager,Windows PC,74164,241,25104,61242,19,"$1,902.30",$100.12,0.32%,$7.89,$25.65,7.88%,$75.78,40.99147644
US Mail Order Buyer,320x50,Subscribe Today - 10% Discount,"New York City, New York",weather.com,Google Ad Manager,Smartphone,78433,204,24067,58308,16,"$1,612.55",$100.78,0.26%,$7.90,$20.56,7.84%,$67.00,41.27563971
Mobile - US>Demographics>Education>Lowest Education Achievement,320x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",essentiallysports.com,BidSwitch,Smartphone,82916,199,24951,77333,12,"$1,584.82",$132.07,0.24%,$7.96,$19.11,6.03%,$63.52,32.26436321
OnAudience>Interest>Arts & Entertainment>Music Lovers,300x250,Sign up Today - 10% Off,"West Palm Beach-Ft. Pierce, Florida",foxnews.com,OpenX,Windows PC,76724,187,43209,69530,9,"$1,493.20",$165.91,0.24%,$7.99,$19.46,4.81%,$34.56,62.1443981
US>Brand Propensities>Apparel>TOMS Buyer Propensity,300x250,10% Discount - Ends 6/1,"New York City, New York",outlook.live.com,Google Ad Manager,Apple PC,50183,199,41506,46163,15,"$1,628.88",$108.59,0.40%,$8.19,$32.46,7.54%,$39.24,89.91183415
US>Interest Propensities>Insurance>Lincoln Heritage,320x50,Sign up Today - 10% Off,"New York City, New York",weather.com,PubMatic,Smartphone,61848,213,6581,44917,15,"$1,819.89",$121.33,0.34%,$8.54,$29.43,7.04%,$276.54,14.65146826
Online Behavior>United States>Travel>Tourist Destinations>Theme Parks,320x50,Sign up Now - 10% Off,"Los Angeles, California",zillow.com,Google Ad Manager,Smartphone,318269,914,33355,295405,44,"$7,854.73",$178.52,0.29%,$8.59,$24.68,4.81%,$235.49,11.29127808
OnAudience>Interest>News>Local News,300x50,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce, Florida",foxnews.com,BidSwitch,Smartphone,69722,194,40640,64819,10,"$1,667.66",$166.77,0.28%,$8.60,$23.92,5.15%,$41.03,62.69766581
US>Reach>Sociodemographic>Dwelling Type>Multi-family Dwelling Unit,300x50,Sign up Now - 10% Off,"San Francisco, California",activebeat.com,BidSwitch,Smartphone,68704,185,31283,59462,16,"$1,605.57",$100.35,0.27%,$8.68,$23.37,8.65%,$51.32,52.6100703
US>Interest Propensities>Brands>Big Box Retail,320x50,Sign up Today - 10% Off,"Jacksonville, Florida",yellowpages.com,Google Ad Manager,Smartphone,61474,250,31245,49089,15,"$2,189.34",$145.96,0.41%,$8.76,$35.61,6.00%,$70.07,63.64969749
Mobile - US>Device Ownership>Smartphones>ZTE,300x250,10% Discount - Ends 6/1,"Jacksonville, Florida",ebay.com,BidSwitch,Windows PC,74436,175,30158,69150,21,"$1,558.55",$74.22,0.24%,$8.91,$20.94,12.00%,$51.68,43.61243673
OnAudience>Interest>Personal Finance,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",essentiallysports.com,Google Ad Manager,Smartphone,80408,199,13127,67027,9,"$1,788.11",$198.68,0.25%,$8.99,$22.24,4.52%,$136.22,19.58464499
US>Green Consumer Audience,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",cbsnews.com,Smart RTB+ (Smartadserver),Smartphone,69540,204,28713,62829,15,"$1,838.99",$122.60,0.29%,$9.01,$26.45,7.35%,$64.05,45.70023397
US>Sociodemographic>PRIZM Premier Lifestage>F2 Young Accumulators,300x50,Subscribe Today - 10% Discount,"New York City, New York",w3schools.com,Index Exchange,Smartphone,72117,187,9807,68568,16,"$1,702.32",$106.39,0.26%,$9.10,$23.60,8.56%,$173.58,14.30259013
Online Behavior>United States>Travel>Tourist Destinations,300x250,Sign up Now - 10% Off,"New York City, New York",ebay.com,Google Ad Manager,Smartphone,325152,854,138319,300133,55,"$7,887.61",$143.41,0.26%,$9.24,$24.26,6.44%,$57.02,46.08590192
US>Reach>Propensity Models>Online>Pets,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",weather.com,Google Ad Manager,Smartphone,68008,204,2996,49686,9,"$1,923.81",$213.76,0.30%,$9.43,$28.29,4.41%,$642.13,6.029867568
US>Reach>Propensity Models>Hobbies and Interest>Food and Drinks>Wine Lovers,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",biblegateway.com,Google Ad Manager,Windows PC,64892,214,34731,59369,24,"$2,096.29",$87.35,0.33%,$9.80,$32.30,11.21%,$60.36,58.50022739
US>Brand Propensities>Electronics>RadioShack Buyer Propensity,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",msn.com,Google Ad Manager,Windows PC,60412,169,33457,52172,24,"$1,679.57",$69.98,0.28%,$9.94,$27.80,14.20%,$50.20,64.12826804
Mobile - US>Device Ownership>Smartphones>iOS (Apple)>iPhone X,300x250,Sign up Now - 10% Off,"Orlando-Daytona Beach, Florida",finance.yahoo.com,Taboola,Windows PC,74426,150,39257,67151,15,"$1,519.60",$101.31,0.20%,$10.13,$20.42,10.00%,$38.71,58.46078242
Online Behavior>United States>Beauty and Fitness>Face and Body Care>Hygiene and Toiletries,300x250,Sign up Now - 10% Off,"Chicago, Illinois",the-sun.com,OpenX,Smartphone,247106,750,159618,233150,32,"$7,629.94",$238.44,0.30%,$10.17,$30.88,4.27%,$47.80,68.46150547
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 18-44,320x50,10% Discount - Ends 6/1,"Augusta, Georgia",mail.yahoo.com,PubMatic,Smartphone,207685,512,20134,30708,34,"$5,239.20",$154.09,0.25%,$10.23,$25.23,6.64%,$260.22,65.56597629
OnAudience>Interest>Shopping,300x50,Subscribe Today - 10% Discount,"Ft. Myers-Naples, Florida",news.yahoo.com,Google Ad Manager,Smartphone,63415,185,28161,59169,9,"$1,924.16",$213.80,0.29%,$10.40,$30.34,4.86%,$68.33,47.59417938
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 65 or older,320x50,Sign up Today - 10% Off,"Chicago, Illinois",finance.yahoo.com,Google Ad Manager,Smartphone,232470,504,40870,195447,36,"$5,401.37",$150.04,0.22%,$10.72,$23.23,7.14%,$132.16,20.91103982
US>B2B>B2B Decision Maker Responsibilities>Office Supplies or Equipment,300x250,Sign up Today - 10% Off,"Los Angeles, California",ebay.com,Google Ad Manager,Windows PC,55692,184,3596,51209,9,"$1,981.05",$220.12,0.33%,$10.77,$35.57,4.89%,$550.90,7.022203128
US>Price-Driven Traditionalist Audience,300x250,10% Discount - Ends 6/1,"Knoxville, Tennessee",screenrant.com,Sovrn,Windows PC,35043,140,20942,33479,24,"$1,527.98",$63.67,0.40%,$10.91,$43.60,17.14%,$72.96,62.55264494
US>Interest Propensities>Insurance>Unitedhealth Group,320x50,Sign up Today - 10% Off,"New York City, New York",forbes.com,Google Ad Manager,Smartphone,33069,140,17744,31192,14,"$1,543.31",$110.24,0.42%,$11.02,$46.67,10.00%,$86.98,56.88638112
US>Brand Propensities>Media and Entertainment>pokerstars.net Buyer Propensity,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",yellowpages.com,Index Exchange,Smartphone,61227,174,10434,53104,8,"$1,919.55",$239.94,0.28%,$11.03,$31.35,4.60%,$183.97,19.64823742
Online Behavior>United States>Validated Demographic>Age>25-54,300x250,Subscribe Today - 10% Discount,"New York City, New York",weather.com,Google Ad Manager,Smartphone,198163,469,76695,183585,31,"$5,204.31",$167.88,0.24%,$11.10,$26.26,6.61%,$67.86,41.77628891
Online Behavior>United States>Travel>Travel,320x50,Subscribe Today - 10% Discount,"New York City, New York",cnn.com,Google Ad Manager,Smartphone,272509,736,89526,237859,69,"$8,168.35",$118.38,0.27%,$11.10,$29.97,9.38%,$91.24,37.63826469
OnAudience>Interest>Food & Drink,300x250,10% Discount - Ends 6/1,"Birmingham, Alabama",w3schools.com,Google Ad Manager,Windows PC,38070,146,15253,35453,8,"$1,653.51",$206.69,0.38%,$11.33,$43.43,5.48%,$108.41,43.02315742
US>Brand Propensities>Media and Entertainment>Regal Cinemas Buyer Propensity,320x50,10% Discount - Ends 6/1,"Jacksonville, Florida",finance.yahoo.com,Google Ad Manager,Smartphone,52582,140,22065,46126,10,"$1,631.74",$163.17,0.27%,$11.66,$31.03,7.14%,$73.95,47.83636127
Transactional>Q3 Home Entertainers,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",mail.yahoo.com,PubMatic,Smartphone,50838,130,23274,35934,11,"$1,521.37",$138.31,0.26%,$11.70,$29.93,8.46%,$65.37,64.76874269
Online Behavior>United States>Finance>Credit and Lending>Credit Cards,320x50,Sign up Today - 10% Off,"Nashville, Tennessee",outlook.live.com,Xandr - Monetize SSP (AppNexus),Smartphone,183230,666,155260,169583,34,"$7,863.47",$231.28,0.36%,$11.81,$42.92,5.11%,$50.65,91.55398831
US>Interest Propensities>Music>Classic Rock,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",screenrant.com,Google Ad Manager,Windows PC,62040,174,43853,58642,15,"$2,139.07",$142.60,0.28%,$12.29,$34.48,8.62%,$48.78,74.78087378
Online Behavior>United States>Finance>Financial Planning and Management>Inheritance and Estate Planning,320x50,Sign up Today - 10% Off,"Chicago, Illinois",investing.com,Index Exchange,Smartphone,115673,410,52475,97166,22,"$5,045.94",$229.36,0.35%,$12.31,$43.62,5.37%,$96.16,54.00551633
Media and Entertainment>Audio and Video Streaming>Streaming Audio,300x250,Sign up Now - 10% Off,"Chicago, Illinois",cnbc.com,Google Ad Manager,Smartphone,42451,122,29142,41093,7,"$1,530.55",$218.65,0.29%,$12.55,$36.05,5.74%,$52.52,70.91718784
Online Behavior>United States>Travel>Specialty Travel,300x250,Sign up Today - 10% Off,"Chicago, Illinois",weather.com,Google Ad Manager,Smartphone,182114,500,14477,139167,29,"$6,307.90",$217.51,0.27%,$12.62,$34.64,5.80%,$435.72,10.40260981
Online Behavior>United States>Intent>Auto Buyers>Car Make>Dodge,320x50,Subscribe Today - 10% Discount,"Champaign & Springfield-Decatur,Illinois",historycollection.com,Google Ad Manager,Smartphone,138904,399,98952,120688,25,"$5,038.64",$201.55,0.29%,$12.63,$36.27,6.27%,$50.92,81.98992443
Online Behavior>United States>Travel>Travel Agencies and Services>Tourist Boards and Visitor Centers,320x50,Sign up Today - 10% Off,"Ft. Wayne, Indiana",nbcnews.com,Magnite DV+,Smartphone,189571,500,130676,183688,39,"$6,335.95",$162.46,0.26%,$12.67,$33.42,7.80%,$48.49,71.14019424
OnAudience>Intent>Software,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",politico.com,Google Ad Manager,Windows PC,22501,120,13003,21286,9,"$1,522.52",$169.17,0.53%,$12.69,$67.66,7.50%,$117.09,61.0870995
US>Reach>Propensity Models>Hobbies and Interest>Sports>Fitness Enthusiasts,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",fandomwire.com,Google Ad Manager,Windows PC,65238,240,23741,59893,15,"$3,132.52",$208.83,0.37%,$13.05,$48.02,6.25%,$131.95,39.63902292
Media and Entertainment>Gaming>In-Market,300x250,Sign up Today - 10% Off,"San Francisco, California",moneyppl.com,Xandr - Monetize SSP (AppNexus),Windows PC,37076,113,9246,22565,12,"$1,488.00",$124.00,0.30%,$13.17,$40.13,10.62%,$160.93,40.97496122
